[49] Error : 47.75558, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[50] Error : 47.74882, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[51] Error : 47.74234, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[52] Error : 47.73617, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[53] Error : 47.73040, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[54] Error : 47.72498, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[55] Error : 47.71992, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 9 out of 100, Valid Correct 0 out of 4
[56] Error : 47.71514, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[57] Error : 47.71061, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[58] Error : 47.70624, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[59] Error : 47.70206, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[60] Error : 47.69799, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[61] Error : 47.69406, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[62] Error : 47.69030, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[63] Error : 47.68672, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[64] Error : 47.68335, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[65] Error : 47.68020, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[66] Error : 47.67734, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[67] Error : 47.67473, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
