[42] Error : 49.98987, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99986
[43] Error : 49.98970, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99985
[44] Error : 49.98952, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99985
[45] Error : 49.98935, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99985
[46] Error : 49.98914, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99984
[47] Error : 49.98891, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99984
[48] Error : 49.98872, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99984
[49] Error : 49.98848, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99984
[50] Error : 49.98827, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99983
[51] Error : 49.98804, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99983
[52] Error : 49.98780, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99982
[53] Error : 49.98753, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99982
[54] Error : 49.98728, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99982
[55] Error : 49.98699, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99981
[56] Error : 49.98671, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99981
[57] Error : 49.98642, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99980
[58] Error : 49.98612, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99980
[59] Error : 49.98576, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99979
[60] Error : 49.98541, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99979
[61] Error : 49.98505, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99978
[62] Error : 49.98468, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99978
[63] Error : 49.98427, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99977
[64] Error : 49.98386, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99977
[65] Error : 49.98342, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99976
[66] Error : 49.98293, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99975
[67] Error : 49.98245, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99974
[68] Error : 49.98192, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99974
[69] Error : 49.98137, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99973
[70] Error : 49.98079, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99972
[71] Error : 49.98015, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99971
[72] Error : 49.97950, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99970
[73] Error : 49.97881, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99969
[74] Error : 49.97803, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99968
[75] Error : 49.97722, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99966
[76] Error : 49.97635, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99965
[77] Error : 49.97541, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99964
[78] Error : 49.97441, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99962
[79] Error : 49.97333, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99960
[80] Error : 49.97213, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99959
[81] Error : 49.97084, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99957
[82] Error : 49.96945, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99954
[83] Error : 49.96792, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99952
[84] Error : 49.96624, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99949
[85] Error : 49.96438, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99946
[86] Error : 49.96230, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99943
[87] Error : 49.96000, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99939
[88] Error : 49.95745, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99935
[89] Error : 49.95456, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99931
[90] Error : 49.95128, Learning Rate : 0.30000, Decay Factor : 0.30000, Train Correct 0 out of 100, Valid Correct 0 out of 4, Valid E 1.99925
